DATE,PINCOME
1970-01-01,841.741
1970-04-01,860.032
1970-07-01,874.679
1970-10-01,883.724
1971-01-01,903.659
1971-04-01,927.064
1971-07-01,941.115
1971-10-01,959.3
1972-01-01,986.539
1972-04-01,1004.185
1972-07-01,1030.12
1972-10-01,1076.989
1973-01-01,1095.077
1973-04-01,1124.86
1973-07-01,1152.519
1973-10-01,1190.659
1974-01-01,1206.827
1974-04-01,1232.887
1974-07-01,1269.102
1974-10-01,1298.456
1975-01-01,1318.422
1975-04-01,1349.955
1975-07-01,1386.478
1975-10-01,1422.706
1976-01-01,1456.113
1976-04-01,1481.236
1976-07-01,1518.387
1976-10-01,1554.856
1977-01-01,1588.814
1977-04-01,1633.021
1977-07-01,1677.748
1977-10-01,1737.356
1978-01-01,1778.084
1978-04-01,1838.23
1978-07-01,1892.608
1978-10-01,1945.96
1979-01-01,2005.384
1979-04-01,2045.411
1979-07-01,2110.85
1979-10-01,2169.03
1980-01-01,2231.943
1980-04-01,2269.449
1980-07-01,2348.492
1980-10-01,2444.702
1981-01-01,2508.89
1981-04-01,2559.805
1981-07-01,2659.108
1981-10-01,2692.662
1982-01-01,2727.838
1982-04-01,2772.282
1982-07-01,2812.468
1982-10-01,2853.801
1983-01-01,2892.399
1983-04-01,2942.074
1983-07-01,3001.186
1983-10-01,3088.57
1984-01-01,3178.949
1984-04-01,3262.865
1984-07-01,3337.375
1984-10-01,3391.684
1985-01-01,3455.406
1985-04-01,3495.499
1985-07-01,3543.075
1985-10-01,3605.539
1986-01-01,3667.613
1986-04-01,3708.775
1986-07-01,3757.134
1986-10-01,3798.812
1987-01-01,3855.989
1987-04-01,3917.519
1987-07-01,3988.546
1987-10-01,4084.343
1988-01-01,4160.579
1988-04-01,4234.807
1988-07-01,4326.297
1988-10-01,4411.905
1989-01-01,4537.232
1989-04-01,4592.892
1989-07-01,4648.502
1989-10-01,4723.658
1990-01-01,4818.861
1990-04-01,4899.213
1990-07-01,4958.513
1990-10-01,4978.564
1991-01-01,4992.467
1991-04-01,5054.094
1991-07-01,5107.067
1991-10-01,5186.024
1992-01-01,5297.824
1992-04-01,5394.385
1992-07-01,5456.272
1992-10-01,5534.992
1993-01-01,5560.691
1993-04-01,5635.821
1993-07-01,5677.605
1993-10-01,5757.671
1994-01-01,5807.935
1994-04-01,5912.749
1994-07-01,5978.373
1994-10-01,6089.374
1995-01-01,6181.217
1995-04-01,6250.73
1995-07-01,6329.264
1995-10-01,6404.29
1996-01-01,6520.965
1996-04-01,6649.846
1996-07-01,6725.853
1996-10-01,6817.457
1997-01-01,6939.356
1997-04-01,7022.275
1997-07-01,7135.314
1997-10-01,7273.02
1998-01-01,7434.561
1998-04-01,7561.053
1998-07-01,7668.149
1998-10-01,7762.884
1999-01-01,7850.9
1999-04-01,7920.415
1999-07-01,8028.811
1999-10-01,8207.349
2000-01-01,8457.24
2000-04-01,8591.771
2000-07-01,8740.968
2000-10-01,8820.424
2001-01-01,8983.971
2001-04-01,9013.575
2001-07-01,9000.793
2001-10-01,9024.027
2002-01-01,9057.799
2002-04-01,9148.834
2002-07-01,9174.425
2002-10-01,9254.791
2003-01-01,9315.093
2003-04-01,9417.79
2003-07-01,9542.255
2003-10-01,9675.051
2004-01-01,9777.933
2004-04-01,9953.591
2004-07-01,10094.733
2004-10-01,10314.055
2005-01-01,10338.509
2005-04-01,10505.183
2005-07-01,10661.698
2005-10-01,10887.599
2006-01-01,11189.536
2006-04-01,11324.003
2006-07-01,11429.375
2006-10-01,11583.919
2007-01-01,11836.729
2007-04-01,11976.955
2007-07-01,12048.361
2007-10-01,12169.082
2008-01-01,12314.988
2008-04-01,12642.64
2008-07-01,12467.172
2008-10-01,12344.037
2009-01-01,11989.616
2009-04-01,12083.196
2009-07-01,12038.315
2009-10-01,12125.309
2010-01-01,12275.861
2010-04-01,12492.64
2010-07-01,12635.99
2010-10-01,12801.897
2011-01-01,13158.223
2011-04-01,13267.284
2011-07-01,13402.026
2011-10-01,13479.546
2012-01-01,13785.668
2012-04-01,13946.813
2012-07-01,13915.449
2012-10-01,14392.628
2013-01-01,14001.219
2013-04-01,14134.979
2013-07-01,14232.02
2013-10-01,14356.156
2014-01-01,14660.201
2014-04-01,14892.499
2014-07-01,15114.393
2014-10-01,15300.232
2015-01-01,15471.296
2015-04-01,15681.737
2015-07-01,15842.941
2015-10-01,15882.12
2016-01-01,15946.542
2016-04-01,16031.618
2016-07-01,16170.637
2016-10-01,16351.765
2017-01-01,16604.424
2017-04-01,16721.172
2017-07-01,16895.096
2017-10-01,17103.057
2018-01-01,17319.159
2018-04-01,17497.629
