DATE,W068RCQ027SBEA
1960-01-01,144.233
1960-04-01,147.417
1960-07-01,150.459
1960-10-01,153.78
1961-01-01,157.254
1961-04-01,160.737
1961-07-01,162.661
1961-10-01,166.344
1962-01-01,170.892
1962-04-01,173.125
1962-07-01,175.597
1962-10-01,178.206
1963-01-01,179.393
1963-04-01,180.369
1963-07-01,184.862
1963-10-01,186.792
1964-01-01,190.075
1964-04-01,192.97
1964-07-01,193.295
1964-10-01,192.973
1965-01-01,196.198
1965-04-01,200.088
1965-07-01,208.98
1965-10-01,214.261
1966-01-01,221.114
1966-04-01,227.479
1966-07-01,235.644
1966-10-01,243.763
1967-01-01,255.415
1967-04-01,256.922
1967-07-01,264.199
1967-10-01,268.385
1968-01-01,277.111
1968-04-01,286.708
1968-07-01,292.215
1968-10-01,298.982
1969-01-01,300.566
1969-04-01,307.101
1969-07-01,313.917
1969-10-01,318.243
1970-01-01,325.878
1970-04-01,339.049
1970-07-01,346.412
1970-10-01,354.25
1971-01-01,358.566
1971-04-01,373.206
1971-07-01,377.132
1971-10-01,383.306
1972-01-01,399.428
1972-04-01,403.929
1972-07-01,404.908
1972-10-01,419.285
1973-01-01,426.927
1973-04-01,439.107
1973-07-01,437.629
1973-10-01,451.019
1974-01-01,465.643
1974-04-01,477.348
1974-07-01,507.012
1974-10-01,521.209
1975-01-01,550.065
1975-04-01,571.864
1975-07-01,583.501
1975-10-01,600.049
1976-01-01,609.583
1976-04-01,606.867
1976-07-01,619.599
1976-10-01,630.202
1977-01-01,645.408
1977-04-01,657.414
1977-07-01,669.001
1977-10-01,688.771
1978-01-01,702.391
1978-04-01,721.911
1978-07-01,749.361
1978-10-01,767.108
1979-01-01,776.403
1979-04-01,799.709
1979-07-01,829.638
1979-10-01,851.736
1980-01-01,892.895
1980-04-01,922.797
1980-07-01,956.08
1980-10-01,970.565
1981-01-01,1022.594
1981-04-01,1037.406
1981-07-01,1063.556
1981-10-01,1102.243
1982-01-01,1122.585
1982-04-01,1150.144
1982-07-01,1185.946
1982-10-01,1222.288
1983-01-01,1245.64
1983-04-01,1255.644
1983-07-01,1289.036
1983-10-01,1299.511
1984-01-01,1320.756
1984-04-01,1349.946
1984-07-01,1380.136
1984-10-01,1423.837
1985-01-01,1450.988
1985-04-01,1483.532
1985-07-01,1514.894
1985-10-01,1537.959
1986-01-01,1557.805
1986-04-01,1583.015
1986-07-01,1625.337
1986-10-01,1625.423
1987-01-01,1646.039
1987-04-01,1671.575
1987-07-01,1686.721
1987-10-01,1720.342
1988-01-01,1734.528
1988-04-01,1750.068
1988-07-01,1762.318
1988-10-01,1810.922
1989-01-01,1844.66
1989-04-01,1882.377
1989-07-01,1914.59
1989-10-01,1946.346
1990-01-01,1998.202
1990-04-01,2033.141
1990-07-01,2059.883
1990-10-01,2130.474
1991-01-01,2069.788
1991-04-01,2147.776
1991-07-01,2209.803
1991-10-01,2239.205
1992-01-01,2294.836
1992-04-01,2326.569
1992-07-01,2355.715
1992-10-01,2379.825
1993-01-01,2383.922
1993-04-01,2398.116
1993-07-01,2423.515
1993-10-01,2445.454
1994-01-01,2429.861
1994-04-01,2460.32
1994-07-01,2508.239
1994-10-01,2544.704
1995-01-01,2582.423
1995-04-01,2610.521
1995-07-01,2598.783
1995-10-01,2615.396
1996-01-01,2669.979
1996-04-01,2695.197
1996-07-01,2701.801
1996-10-01,2720.88
1997-01-01,2740.531
1997-04-01,2741.552
1997-07-01,2784.966
1997-10-01,2822.362
1998-01-01,2809.434
1998-04-01,2837.501
1998-07-01,2866.201
1998-10-01,2909.222
1999-01-01,2931.922
1999-04-01,2960.587
1999-07-01,3003.406
1999-10-01,3087.399
2000-01-01,3075.69
2000-04-01,3132.456
2000-07-01,3152.798
2000-10-01,3207.261
2001-01-01,3280.696
2001-04-01,3358.641
2001-07-01,3375.623
2001-10-01,3434.664
2002-01-01,3506.482
2002-04-01,3554.207
2002-07-01,3596.965
2002-10-01,3683.171
2003-01-01,3747.962
2003-04-01,3806.841
2003-07-01,3837.343
2003-10-01,3872.237
2004-01-01,3951.581
2004-04-01,3981.494
2004-07-01,4049.458
2004-10-01,4095.113
2005-01-01,4195.552
2005-04-01,4239.652
2005-07-01,4364.34
2005-10-01,4414.445
2006-01-01,4453.622
2006-04-01,4516.551
2006-07-01,4563.978
2006-10-01,4545.726
2007-01-01,4752.188
2007-04-01,4801.855
2007-07-01,4849.265
2007-10-01,4931.232
2008-01-01,5000.176
2008-04-01,5365.071
2008-07-01,5258.6
2008-10-01,5419.032
2009-01-01,5486.315
2009-04-01,5682.232
2009-07-01,5655.254
2009-10-01,5713.157
2010-01-01,5820.399
2010-04-01,5862.866
2010-07-01,5811.144
2010-10-01,5839.37
2011-01-01,5859.5
2011-04-01,5918.37
2011-07-01,5837.918
2011-10-01,5872.701
2012-01-01,5834.96
2012-04-01,5831.685
2012-07-01,5801.406
2012-10-01,5901.705
2013-01-01,5832.062
2013-04-01,5848.976
2013-07-01,5867.311
2013-10-01,5868.146
2014-01-01,5917.538
2014-04-01,5978.754
2014-07-01,6040.781
2014-10-01,6063.441
2015-01-01,6066.704
2015-04-01,6083.642
2015-07-01,6263.481
2015-10-01,6235.098
2016-01-01,6305.14
2016-04-01,6309.703
2016-07-01,6400.885
2016-10-01,6451.581
2017-01-01,6510.537
2017-04-01,6500.141
2017-07-01,6631.203
2017-10-01,6677.11
2018-01-01,6742.7
2018-04-01,6835.422
